"start_lat","start_lng","member_casual","mean_duration"
41.84453,-87.71592,"casual",14
41.84453,-87.71592,"member",19
41.84569,-87.62248,"casual",21
41.84569,-87.62248,"member",13
41.8472,-87.6468,"casual",12
41.8472,-87.6468,"member",11
41.8481,-87.71507,"casual",13
41.8481,-87.71507,"member",15
41.84819,-87.70541,"casual",14
41.84819,-87.70541,"member",12
41.84847,-87.68511,"casual",18
41.84847,-87.68511,"member",16
41.84911,-87.69514,"casual",18
41.84911,-87.69514,"member",14
41.8492,-87.67564,"casual",14
41.8492,-87.67564,"member",14
41.84953,-87.64059,"casual",17
41.84953,-87.64059,"member",13
41.85,-87.73,"casual",18
41.85,-87.73,"member",22
41.85,-87.72,"casual",12
41.85,-87.72,"member",17
41.85,-87.7,"casual",15
41.85,-87.7,"member",13
41.85,-87.69,"casual",12
41.85,-87.69,"member",12
41.85008,-87.63214,"casual",21
41.85008,-87.63214,"member",14
41.85138,-87.61883,"casual",24
41.85138,-87.61883,"member",15
41.85167,-87.69062,"member",8
41.85262,-87.62649,"casual",22
41.85262,-87.62649,"member",13
41.85308,-87.63193,"casual",25
41.85308,-87.63193,"member",14
41.85353,-87.70507,"casual",18
41.85353,-87.70507,"member",17
41.85378,-87.6466,"casual",16
41.85378,-87.6466,"member",14
41.8538,-87.69574,"casual",18
41.8538,-87.69574,"member",14
41.85406,-87.71512,"casual",15
41.85406,-87.71512,"member",13
41.85411,-87.68584,"casual",17
41.85411,-87.68584,"member",15
41.85418,-87.61915,"casual",28
41.85418,-87.61915,"member",16
41.85491,-87.66356,"casual",17
41.85491,-87.66356,"member",14
41.85497,-87.6757,"casual",19
41.85497,-87.6757,"member",14
41.85514,-87.65413,"casual",16
41.85514,-87.65413,"member",15
41.85659,-87.62754,"casual",24
41.85659,-87.62754,"member",14
41.8568,-87.63388,"casual",24
41.8568,-87.63388,"member",17
41.85741,-87.61379,"casual",28
41.85741,-87.61379,"member",25
41.85751,-87.64599,"casual",16
41.85751,-87.64599,"member",12
41.85756,-87.66154,"casual",16
41.85756,-87.66154,"member",13
41.85761,-87.61941,"casual",25
41.85761,-87.61941,"member",15
41.85781,-87.62455,"casual",22
41.85781,-87.62455,"member",13
41.8579,-87.66874,"casual",17
41.8579,-87.66874,"member",13
41.85795,-87.64083,"casual",14
41.85795,-87.64083,"member",14
41.85809,-87.65107,"casual",16
41.85809,-87.65107,"member",11
41.85817,-87.6565,"casual",16
41.85817,-87.6565,"member",12
41.86,-87.73,"casual",17
41.86,-87.73,"member",27
41.86,-87.72,"casual",17
41.86,-87.72,"member",21
41.86,-87.71,"casual",17
41.86,-87.71,"member",15
41.86,-87.7,"casual",24
41.86,-87.7,"member",20
41.86,-87.68,"casual",14
41.86,-87.68,"member",14
41.86,-87.63,"casual",14
41.86,-87.63,"member",10
41.86038,-87.62581,"casual",20
41.86038,-87.62581,"member",13
41.86127,-87.65662,"casual",16
41.86127,-87.65662,"member",13
41.86193,-87.69345,"casual",18
41.86193,-87.69345,"member",15
41.86238,-87.65106,"casual",17
41.86238,-87.65106,"member",11
41.86383,-87.68011,"casual",14
41.86383,-87.68011,"member",14
41.86406,-87.62373,"casual",21
41.86406,-87.62373,"member",13
41.86488,-87.64707,"casual",14
41.86488,-87.64707,"member",10
41.86505,-87.65696,"casual",18
41.86505,-87.65696,"member",11
41.86523,-87.66651,"casual",17
41.86523,-87.66651,"member",12
41.86531,-87.61787,"casual",26
41.86531,-87.61787,"member",19
41.8661,-87.60727,"casual",28
