"start_lat","start_lng","member_casual","rideable_type","n"
41.75867,-87.58688,"member","electric_bike",66
41.75877,-87.56644,"casual","classic_bike",74
41.75877,-87.56644,"casual","docked_bike",9
41.75877,-87.56644,"casual","electric_bike",192
41.75877,-87.56644,"member","classic_bike",52
41.75877,-87.56644,"member","electric_bike",209
41.75916,-87.59575,"casual","classic_bike",31
41.75916,-87.59575,"casual","docked_bike",4
41.75916,-87.59575,"casual","electric_bike",55
41.75916,-87.59575,"member","classic_bike",22
41.75916,-87.59575,"member","electric_bike",20
41.75924,-87.66347,"casual","classic_bike",32
41.75924,-87.66347,"casual","docked_bike",9
41.75924,-87.66347,"casual","electric_bike",28
41.75924,-87.66347,"member","classic_bike",17
